algorithm;hash;sign;verify;total
rsa_v1_5;SHA256;0.03303;0.00300;0.03603
rsa_v1_5;SHA384;0.03303;0.00300;0.03603
rsa_v1_5;SHA512;0.03354;0.00100;0.03454
rsa_pss;SHA256;0.03103;0.00400;0.03503
rsa_pss;SHA384;0.03103;0.00400;0.03503
rsa_pss;SHA512;0.03153;0.00400;0.03554
dsa;SHA256;0.08007;0.08117;0.16124
dsa;SHA384;0.08158;0.07958;0.16116
dsa;SHA512;0.08258;0.07958;0.16216
ecdsa;SHA256;0.00200;0.00601;0.00801
ecdsa;SHA384;0.00200;0.00600;0.00801
ecdsa;SHA512;0.00100;0.00600;0.00701
eddsa;SHA512;0.00100;0.00200;0.00300
pure_eddsa;-;0.00100;0.00100;0.00200
